,Channel,Tweets,Time,Compound Score,Positive Score,Negative Score,Neutral Score
91,BBC,"Sharks, bear markets, narwhals &amp; yak shaving - do you know the 
business beast ABC?
Full guide here 👉… https://t.co/kgxpnSZf4A",Fri Dec 08 17:00:05 +0000 2017,0.0,0.0,0.0,1.0
92,BBC,"Remember how we actually did alright at Eurovision this year? 🎤🎶

10 surprising music moments from 2017 you've alre… https://t.co/hS72dmiWNE",Fri Dec 08 16:30:06 +0000 2017,0.4767,0.186,0.0,0.814
93,BBC,👦🤔👧 Are you smarter than an 11-year-old? Take this quiz &amp; find out... https://t.co/JNbY5UN9QB https://t.co/nZWffIrmGv,Fri Dec 08 14:00:08 +0000 2017,0.4588,0.176,0.0,0.824
94,BBC,"RT @bbcmusic: 💖@Harry_Styles is nominated for BBC Music Artist Of The Year, and we STILL have goosebumps from his beautiful 'Girl Crush' pe…",Fri Dec 08 13:39:18 +0000 2017,0.5106,0.147,0.06,0.792
95,BBC,"'If you don't get the angle right, it's not going to work.'
Can you #DoTheHuw? 😂 https://t.co/hYxrN6C790",Fri Dec 08 13:30:04 +0000 2017,0.0,0.0,0.0,1.0
96,BBC,Stewards working at Prince Harry &amp; Meghan Markle's Royal Wedding have been told to watch Suits before the big day.… https://t.co/ErN62dBvF6,Fri Dec 08 13:00:06 +0000 2017,0.0,0.0,0.0,1.0
97,BBC,"The perfect warm drink for cold December evenings. ☕️😋 
Via @BBCFood. https://t.co/clDVQqgSOj",Fri Dec 08 12:30:03 +0000 2017,0.6808,0.359,0.0,0.641
98,BBC,"RT @bbcworldservice: ""Falls reduced by 60%."" Why some care home residents are 'pimping' their walking frames. Follow the link for more from…",Fri Dec 08 12:19:35 +0000 2017,0.4939,0.132,0.0,0.868
99,BBC,Professional clowns must choose a unique facial makeup design – and they have an unusual way of ‘protecting’ it fro… https://t.co/zmkytd7z8v,Fri Dec 08 12:00:07 +0000 2017,0.0,0.0,0.0,1.0
100,CBS,"Due to NFL overrun, CBS is delayed 8 mins in the following ET &amp; CT markets: Hunstville, AL, Bowling Green, KY, MS,… https://t.co/gbwhgooEQd",Mon Dec 11 00:26:50 +0000 2017,-0.2263,0.0,0.083,0.917
101,CBS,"Due to NFL overrun CBS is delayed 7 mins in the following ET &amp; CT markets Tampa, Chicago, Maryland, Michigan, Wash… https://t.co/driVgCiX7D",Mon Dec 11 00:25:54 +0000 2017,-0.2263,0.0,0.087,0.913
102,CBS,"RT @NoActivityCBS: If you want the intel, you get the tickles. 😂 Stream the first 5 episodes of #NoActivity now: https://t.co/Wzq9bVOhGN ht…",Sun Dec 10 22:49:02 +0000 2017,0.0772,0.064,0.0,0.936
103,CBS,RT @startrekcbs: .@albinokid and @wcruz73 are breaking new ground in #StarTrekDiscovery. 🏳️‍🌈 Stream chapter 1 on CBS All Access: https://t…,Sun Dec 10 22:48:46 +0000 2017,0.0,0.0,0.0,1.0
104,CBS,Don’t miss America’s Game! Stream the Army-Navy game LIVE today at 3PM ET with a FREE trial of #CBSAllAccess:… https://t.co/38udnQj2vs,Sat Dec 09 18:24:37 +0000 2017,0.5754,0.189,0.07,0.742
105,CBS,"There's still time before we have to say so long! Catch up with Carol Burnett, her original castmates and special g… https://t.co/WTiK8dzaXO",Sat Dec 09 01:11:51 +0000 2017,0.6476,0.209,0.0,0.791
106,CBS,RT @bigbangtheory: It's the biggest best friend breakup of the year... 😱 Stream the latest full episode of #BigBangTheory: https://t.co/iIw…,Fri Dec 08 23:35:41 +0000 2017,0.8126,0.303,0.0,0.697
107,CBS,"RT @AmazingRaceCBS: Presenting... the 30th cast of the #AmazingRace! Made up of champions and winners, this is quite literally the most com…",Thu Dec 07 18:23:03 +0000 2017,0.7777,0.254,0.0,0.746
108,CBS,Do you know all the nominees for Song Of The Year? Get familiar with this year's GRAMMY® Award nominees ahead of Mu… https://t.co/I6hhOtfQjb,Thu Dec 07 12:07:06 +0000 2017,0.5423,0.137,0.0,0.863
109,CBS,"A new Twilight Zone original series is coming exclusively to CBS All Access in association with @JordanPeele,… https://t.co/fVYnhUASee",Wed Dec 06 17:32:28 +0000 2017,0.3182,0.126,0.0,0.874
110,CBS,RT @SuperiorDonuts: You'll want to check this box! ☑︎ Stream the latest episode of #SuperiorDonuts: https://t.co/h1xhKLCAPl https://t.co/d8…,Tue Dec 05 19:21:31 +0000 2017,0.1511,0.09,0.0,0.91
111,CBS,RT @YoungSheldon: Wondering what it's like behind the scenes of #YoungSheldon? Let star @OfficialRaeganR take you on a tour of the set! htt…,Tue Dec 05 19:14:00 +0000 2017,0.4199,0.117,0.0,0.883
112,CBS,The Kennedy Center Honors recognizes the lifetime contributions of all types of performance artists. Watch the 40th… https://t.co/azF3rW2ptw,Tue Dec 05 00:54:16 +0000 2017,0.5106,0.163,0.0,0.837
113,CBS,RT @YoungSheldon: There's something @elonmusk never told you about @spacex's Falcon 9. 📓  #YoungSheldon https://t.co/bu3W0IC8zN,Tue Dec 05 00:03:06 +0000 2017,0.0,0.0,0.0,1.0
114,CBS,"Just like old times, Carol Burnett bumps up the lights and answers questions from the audience. Catch up on The Car… https://t.co/9r7WI8d1tZ",Mon Dec 04 20:52:31 +0000 2017,0.3612,0.106,0.0,0.894
115,CBS,Star comedian @JimCarrey gets emotional when he expresses his heartfelt thanks to Carol Burnett for her positive in… https://t.co/5QCejBcg5T,Mon Dec 04 19:22:07 +0000 2017,0.9217,0.504,0.0,0.496
116,CBS,Take a trip down memory lane with Carol Burnett for a special tribute you'll never forget. Catch up on The Carol Bu… https://t.co/XBINDav614,Mon Dec 04 07:14:06 +0000 2017,0.5213,0.187,0.0,0.813
117,CBS,"RT @JLawlorNY: So, ok...maybe I'm crying at at the #CarolBurnett50 finale with everyone singing her theme song! #ImSoGladWeHadThisTimeToget…",Mon Dec 04 03:02:00 +0000 2017,-0.5655,0.0,0.177,0.823
118,CBS,RT @junerenee: A true classic and favorite!! Love #CarolBurnett50 laughed and cried...just like before!,Mon Dec 04 03:01:09 +0000 2017,0.9466,0.672,0.0,0.328
119,CBS,RT if you’ve loved reliving these classic moments during #CarolBurnett50 https://t.co/I1tIWeSlsQ,Mon Dec 04 02:51:35 +0000 2017,0.5994,0.281,0.0,0.719
